,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
1593,2019-07-23,0.0,16768.06,16768.06,1.6768
1594,2019-07-24,0.0,16806.0,16806.0,1.6806
1595,2019-07-25,0.0,16832.25,16832.25,1.6832
1596,2019-07-26,0.0,16839.87,16839.87,1.684
1597,2019-07-29,0.0,16823.03,16823.03,1.6823
1598,2019-07-30,0.0,16879.81,16879.81,1.688
1599,2019-07-31,0.0,16875.96,16875.96,1.6876
1600,2019-08-01,0.0,16931.2,16931.2,1.6931
1601,2019-08-02,0.0,16873.57,16873.57,1.6874
1602,2019-08-05,0.0,16800.69,16800.69,1.6801
1603,2019-08-06,0.0,16641.05,16641.05,1.6641
1604,2019-08-07,0.0,16754.84,16754.84,1.6755
1605,2019-08-08,0.0,16787.53,16787.53,1.6788
1606,2019-08-09,0.0,16788.28,16788.28,1.6788
1607,2019-08-12,0.0,16837.36,16837.36,1.6837
1608,2019-08-13,0.0,16844.1,16844.1,1.6844
1609,2019-08-14,0.0,16866.4,16866.4,1.6866
1610,2019-08-15,0.0,16840.87,16840.87,1.6841
1611,2019-08-16,0.0,16957.42,16957.42,1.6957
1612,2019-08-19,0.0,17175.03,17175.03,1.7175
1613,2019-08-20,0.0,17276.69,17276.69,1.7277
1614,2019-08-21,0.0,17228.12,17228.12,1.7228
1615,2019-08-22,0.0,17229.77,17229.77,1.723
1616,2019-08-23,0.0,17284.7,17284.7,1.7285
1617,2019-08-26,0.0,17213.1,17213.1,1.7213
1618,2019-08-27,0.0,17377.37,17377.37,1.7377
1619,2019-08-28,0.0,17364.33,17364.33,1.7364
1620,2019-08-29,0.0,17376.76,17376.76,1.7377
1621,2019-08-30,0.0,17331.39,17331.39,1.7331
1622,2019-09-02,0.0,17425.19,17425.19,1.7425
1623,2019-09-03,0.0,17447.8,17447.8,1.7448
1624,2019-09-04,0.0,17502.43,17502.43,1.7502
1625,2019-09-05,0.0,17604.19,17604.19,1.7604
1626,2019-09-06,0.0,17730.04,17730.04,1.773
1627,2019-09-09,0.0,17901.29,17901.29,1.7901
1628,2019-09-10,0.0,18098.14,18098.14,1.8098
1629,2019-09-11,0.0,17985.25,17985.25,1.7985
1630,2019-09-12,0.0,17893.1,17893.1,1.7893
1631,2019-09-16,0.0,17904.12,17904.12,1.7904
1632,2019-09-17,0.0,17634.4,17634.4,1.7634
1633,2019-09-18,0.0,17653.18,17653.18,1.7653
1634,2019-09-19,0.0,17687.55,17687.55,1.7688
1635,2019-09-20,0.0,17818.82,17818.82,1.7819
1636,2019-09-23,0.0,17941.17,17941.17,1.7941
1637,2019-09-24,0.0,18006.2,18006.2,1.8006
1638,2019-09-25,0.0,17756.98,17756.98,1.7757
1639,2019-09-26,0.0,17631.65,17631.65,1.7632
1640,2019-09-27,0.0,17694.48,17694.48,1.7694
1641,2019-09-30,0.0,17655.39,17655.39,1.7655
1642,2019-10-08,0.0,17677.99,17677.99,1.7678
1643,2019-10-09,0.0,17757.75,17757.75,1.7758
1644,2019-10-10,0.0,17892.9,17892.9,1.7893
1645,2019-10-11,0.0,17956.13,17956.13,1.7956
1646,2019-10-14,0.0,18067.74,18067.74,1.8068
1647,2019-10-15,0.0,17940.22,17940.22,1.794
1648,2019-10-16,0.0,17926.33,17926.33,1.7926
1649,2019-10-17,0.0,17998.64,17998.64,1.7999
1650,2019-10-18,0.0,17851.21,17851.21,1.7851
1651,2019-10-21,0.0,17768.83,17768.83,1.7769
1652,2019-10-22,0.0,17801.77,17801.77,1.7802
1653,2019-10-23,0.0,17813.34,17813.34,1.7813
1654,2019-10-24,0.0,17742.26,17742.26,1.7742
1655,2019-10-25,0.0,17759.86,17759.86,1.776
1656,2019-10-28,0.0,18106.86,18106.86,1.8107
1657,2019-10-29,0.0,17960.0,17960.0,1.796
1658,2019-10-30,0.0,17653.0,17653.0,1.7653
1659,2019-10-31,0.0,17551.28,17551.28,1.7551
1660,2019-11-01,0.0,17702.11,17702.11,1.7702
