,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
1022,2017-03-21,0.0,13495.85,13495.85,1.3496
1023,2017-03-22,0.0,13375.59,13375.59,1.3376
1024,2017-03-23,0.0,13400.05,13400.05,1.34
1025,2017-03-24,0.0,13374.29,13374.29,1.3374
1026,2017-03-27,0.0,13357.18,13357.18,1.3357
1027,2017-03-28,0.0,13353.91,13353.91,1.3354
1028,2017-03-29,0.0,13324.48,13324.48,1.3324
1029,2017-03-30,0.0,13256.25,13256.25,1.3256
1030,2017-03-31,0.0,13283.79,13283.79,1.3284
1031,2017-04-05,0.0,13294.75,13294.75,1.3295
1032,2017-04-06,0.0,13312.11,13312.11,1.3312
1033,2017-04-07,0.0,13398.98,13398.98,1.3399
1034,2017-04-10,0.0,13343.23,13343.23,1.3343
1035,2017-04-11,0.0,13351.87,13351.87,1.3352
1036,2017-04-12,0.0,13364.19,13364.19,1.3364
1037,2017-04-13,0.0,13357.01,13357.01,1.3357
1038,2017-04-14,0.0,13318.02,13318.02,1.3318
1039,2017-04-17,0.0,13321.89,13321.89,1.3322
1040,2017-04-18,0.0,13304.78,13304.78,1.3305
1041,2017-04-19,0.0,13272.29,13272.29,1.3272
1042,2017-04-20,0.0,13272.1,13272.1,1.3272
1043,2017-04-21,0.0,13293.96,13293.96,1.3294
1044,2017-04-24,0.0,13172.4,13172.4,1.3172
1045,2017-04-25,0.0,13132.77,13132.77,1.3133
1046,2017-04-26,0.0,13208.0,13208.0,1.3208
1047,2017-04-27,0.0,13174.19,13174.19,1.3174
1048,2017-04-28,0.0,13298.13,13298.13,1.3298
1049,2017-05-02,0.0,13281.61,13281.61,1.3282
